City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Broken Hill,AU,-31.95,141.4333,54.73,53,89,7.14,overcast clouds
266,Qaanaaq,GL,77.484,-69.3632,35.31,80,11,1.79,few clouds
267,Ampanihy,MG,-24.7,44.75,61.03,70,26,5.35,scattered clouds
268,Bar Harbor,US,44.3876,-68.2039,65.93,59,75,17.27,broken clouds
269,Lavrentiya,RU,65.5833,-171.0,40.96,84,74,11.5,broken clouds
270,Verkhnevilyuysk,RU,63.4453,120.3167,55.63,60,1,5.88,clear sky
271,Stornoway,GB,58.2093,-6.3865,54.93,94,100,12.66,moderate rain
272,Constitucion,CL,-35.3333,-72.4167,51.01,80,7,11.63,clear sky
273,Aketi,CD,2.7388,23.7833,70.05,99,66,0.22,broken clouds
274,Oranjemund,NA,-28.55,16.4333,61.34,36,28,6.73,scattered clouds
275,Acarau,BR,-2.8856,-40.12,77.4,82,19,11.21,few clouds
276,Esperance,AU,-33.8667,121.9,58.91,88,0,13.89,clear sky
277,Aklavik,CA,68.2191,-135.0107,69.53,35,17,7.52,few clouds
278,Rovnoye,RU,50.7765,46.0509,61.16,90,33,7.47,scattered clouds
279,Ibra,OM,22.6906,58.5334,84.4,64,15,2.08,few clouds
280,Ornes,NO,66.8689,13.7078,50.95,84,90,2.01,overcast clouds
281,Chuy,UY,-33.6971,-53.4616,55.42,83,100,2.64,light rain
282,Saint George,US,37.1041,-113.5841,108.63,5,0,8.05,clear sky
283,Redmond,US,47.674,-122.1215,69.75,62,22,5.01,few clouds
284,Kathu,TH,7.9178,98.3332,85.69,85,99,3.29,overcast clouds
285,Shimoda,JP,34.6667,138.95,71.1,93,100,12.75,moderate rain
286,Solnechnyy,RU,50.7214,136.6319,57.11,88,100,3.87,overcast clouds
287,Saint-Joseph,RE,-21.3667,55.6167,70.18,74,15,5.99,few clouds
288,Severodvinsk,RU,64.5635,39.8302,57.31,96,100,9.1,overcast clouds
289,Angoche,MZ,-16.2325,39.9086,73.9,75,3,9.35,clear sky
290,Cayenne,GF,4.9333,-52.3333,76.08,1,0,0.0,clear sky
291,Cihuatlan,MX,19.2366,-104.5651,79.61,81,100,2.46,overcast clouds
292,Pangnirtung,CA,66.1451,-65.7125,39.2,75,75,17.27,broken clouds
293,Faya,SA,18.3851,42.4509,69.91,24,47,4.12,scattered clouds
294,Mahebourg,MU,-20.4081,57.7,72.25,83,20,9.22,few clouds
295,Muisne,EC,0.6,-80.0333,76.3,83,90,11.16,overcast clouds
296,Zeya,RU,53.75,127.2667,63.84,55,15,3.18,few clouds
297,Champerico,GT,14.3,-91.9167,82.94,78,100,16.8,overcast clouds
298,Marawi,PH,7.9986,124.2928,68.92,91,77,2.75,broken clouds
299,Itarema,BR,-2.9248,-39.9167,77.04,81,15,10.49,few clouds
300,Coahuayana,MX,18.7333,-103.6833,79.57,82,100,3.53,overcast clouds
301,Grand Gaube,MU,-20.0064,57.6608,72.37,73,1,3.0,clear sky
302,Tsaratanana,MG,-16.7833,47.65,68.36,67,4,3.04,clear sky
303,Houma,US,29.5958,-90.7195,91.0,76,88,5.44,overcast clouds
304,Tecoanapa,MX,16.5167,-98.75,81.25,73,100,8.25,overcast clouds
305,Provideniya,RU,64.3833,-173.3,41.36,87,40,13.42,scattered clouds
306,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,86.38,17,34,18.41,scattered clouds
307,Tessaoua,NE,13.7574,7.9874,79.72,66,93,26.53,light rain
308,Gerash,IR,27.6652,54.1371,87.94,18,0,3.09,clear sky
309,Norman Wells,CA,65.282,-126.8329,66.24,34,20,9.22,few clouds
310,Sakakah,SA,29.9697,40.2064,94.57,19,0,13.53,clear sky
311,Gizo,SB,-8.103,156.8419,82.74,73,78,7.31,broken clouds
312,Shediac,CA,46.2198,-64.5411,77.52,33,75,21.85,broken clouds
313,Winslow,US,35.0242,-110.6974,98.78,6,0,9.22,clear sky
314,Vega De Alatorre,MX,20.0333,-96.6333,84.85,66,93,10.85,overcast clouds
315,Cedar City,US,37.6775,-113.0619,90.39,4,0,18.52,clear sky
316,Masindi,UG,1.6744,31.715,62.91,88,21,1.83,few clouds
317,Raudeberg,NO,61.9875,5.1352,53.87,94,93,11.03,overcast clouds
318,Povoa De Varzim,PT,41.3834,-8.7636,70.23,100,0,4.61,clear sky
319,Araouane,ML,18.9048,-3.5265,83.1,54,44,14.27,scattered clouds
320,Leh,IN,34.1667,77.5833,54.28,41,97,5.88,overcast clouds
321,Pemberton,CA,50.3164,-122.8027,64.09,59,78,5.12,broken clouds
322,Teguise,ES,29.0605,-13.564,66.42,73,20,14.97,few clouds
323,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.49,43,54,0.51,broken clouds
324,Marzuq,YE,14.4,46.4667,78.57,50,69,5.64,broken clouds
325,Tajumulco,GT,15.0833,-91.8833,63.39,84,100,0.65,overcast clouds
326,Vanavara,RU,60.34,102.2797,61.5,90,93,2.21,overcast clouds
327,Ulaanbaatar,MN,47.9077,106.8832,51.93,87,0,2.24,clear sky
328,Saint John,CA,45.2727,-66.0677,67.23,59,40,17.27,scattered clouds
329,Sosnovo-Ozerskoye,RU,52.5249,111.5418,60.48,65,67,3.0,broken clouds
330,Manta,EC,-0.95,-80.7333,78.58,73,75,9.22,broken clouds
331,Khovu-Aksy,RU,51.1333,93.6,48.58,89,96,2.57,overcast clouds
332,Crossville,US,35.949,-85.0269,94.3,52,22,5.01,few clouds
333,Arlit,NE,18.7369,7.3853,89.42,27,95,8.57,overcast clouds
334,Morro Bay,US,35.3658,-120.8499,94.39,52,11,8.99,few clouds
335,Klaebu,NO,63.2976,10.4826,52.03,94,97,2.3,light rain
336,Tagusao,PH,9.1924,117.8141,79.72,79,35,3.74,scattered clouds
337,Ribeira Brava,PT,32.65,-17.0667,70.43,81,56,7.05,broken clouds
338,Ingham,US,42.6,-84.3833,89.02,32,0,9.22,clear sky
339,Kupang,ID,-10.1667,123.5833,78.3,74,81,11.39,broken clouds
340,Nishihara,JP,26.1842,127.7558,78.08,91,75,6.91,broken clouds
341,Geraldton,AU,-28.7667,114.6,61.21,88,10,12.66,light rain
342,Tiznit,MA,29.5833,-9.5,67.78,66,0,2.33,clear sky
343,Pochutla,MX,15.7432,-96.4661,82.81,74,100,6.51,overcast clouds
344,Duluth,US,46.7833,-92.1066,76.68,40,75,35.68,broken clouds
345,Voyvozh,RU,62.892,54.9635,54.88,87,100,3.91,overcast clouds
346,Buala,SB,-8.145,159.5921,81.61,78,99,8.99,light rain
347,Ahuimanu,US,21.4447,-157.8378,80.85,75,100,12.66,light rain
348,Guder,ET,8.9667,37.7667,58.28,79,71,3.18,broken clouds
